"acc","affine","amdgpu","amx","arith","arm_neon","arm_sve","ArmSME","async","buffer","'cf'","complex","dlti","emitc","func","gpu","index","irdl","linalg","llvm","math","memref","mesh","ml_program","mpi","nvgpu","nvvm","omp","pdl_interp","'pdl'","poly","ptr","quant","rocdl","scf","shape","sparse","'tensor'","'ub'","vcix","'vector'","x86vector","xegpu","SPIR-V","TOSA","transform"
,,,,1,,,,,1,1,,1,,1,1,1,,1,1,1,1,,,,,,,,,,1,,,1,,,1,,,1,,1,,,
1,,,,1,,,,,,1,1,1,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,
,1,,,1,,,,,,1,1,,,1,1,,,,1,1,1,,,,,,1,,,,,,,1,,,,,,1,,,1,,
,1,,,1,,,,,,1,,,,1,,,,1,1,1,1,,,,,,,1,1,1,,1,,1,,,1,,,1,,,,1,
,1,,,1,,1,1,,1,,,,1,1,1,1,,1,1,1,1,1,1,,,,1,,,,1,1,,1,1,1,1,,,1,,,1,1,1
1,1,,,1,,,,1,1,1,1,,,1,1,1,,,1,1,,,,,1,1,1,1,1,,1,,,1,1,1,,1,,1,,,,,1
,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,1,,,,,,1,,,,1,,,,,1,1,,,,,,1,,,,,,,,1,,,1,,,,,,,,1
,1,,,1,,,,,,1,,,,1,,1,,1,1,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,1,1,1,,,1,,1,,,,1,1,,,,,,,,1,,,,,,,,,1,,
,,,,1,,,,,,1,,,1,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
,1,,,1,,,,1,,1,,,,1,,1,,1,1,1,1,,,,,,,1,1,,1,,,1,1,,1,,,1,,,,,1
,,1,,1,,,,,1,1,1,,1,1,1,,,1,1,1,1,,1,,1,,1,,,,,,,1,,,1,,,1,,,1,,
,1,,,1,,,,,1,1,1,,1,1,,1,,,1,1,1,,1,,,,1,1,1,,1,1,,1,1,,1,,,1,,,,,
,1,1,,,,,,,1,1,1,,,1,1,1,,1,1,1,1,,,1,1,1,1,,,,1,,1,1,1,1,1,,,1,,,,,
,1,1,,1,,,,,1,1,,1,,1,1,1,,1,1,1,1,,,,1,1,1,,,,,,,1,,,1,,,1,,1,1,,1
,,,,1,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,,1,,,,,,,1
,1,1,,1,,,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,,1,1,1,,1,,,1,,,,,1
,1,,,1,,,,,1,1,,,,1,,1,,1,1,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,
,,,,1,,,,,,1,,,,1,,,,,1,1,,,,,,1,,,,,,,1,1,,,,1,,1,,,,,
,,,,1,,,,,,1,1,,,1,,,,,1,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,
,1,,,1,,,,,,1,,,,1,,1,,,1,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,
,1,,,1,,,,,,1,1,,1,1,,1,,,1,1,1,,1,,,,1,1,1,,,1,,1,1,,1,,,1,,,,1,
,1,,,1,,,,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,1,,,1,,,,,
,1,,,1,,,,1,,1,,1,,1,1,1,,1,1,,1,,,,,,1,,,,,,,1,,,1,,,1,,,,,
,1,,,1,,,,,,1,,,1,1,,,,,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,,
,,,,1,,,,,,,,,,1,,1,,1,1,,1,,,,,,,,,,,,,1,,,1,,,1,,,1,1,1
,1,1,,1,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,1,1,,,1,,,1,,,,1,1
,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1,,1,1,1,,1,,,,1,1,1,,1,,,1,,,1,1,1
,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,1,,1,,1,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,
,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1,1,,1,1,1,,,1,,1,,1,1,1,1,,,,,,1,,,,1,,,1,1,,1,,,1,,,,,1
,,,,1,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,1,,,,,1,1,,1,,,1,1,,,,1
,,,,1,,,,,,,,1,,1,,1,,,1,1,,,,,,,,,,,1,,,,,,,1,,1,,,,,
,,1,,1,,,,,1,1,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,1,,,1,,,1,1,,1,1,1
,1,,,1,,,,,1,1,,,,1,1,1,,1,,1,1,,1,,,,,,1,,,1,,1,,,1,,,1,,,1,1,1
,1,,,1,,,,,1,,,,,1,1,,,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,1,1,1
,,,,1,,,,,1,1,,1,1,1,1,1,,1,1,,1,,,,,,1,,1,,,,,1,,,1,,,1,,1,,,1
,1,,,1,,,,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,1,,,1,,1,,,
,,,,1,,,,,,,1,,,1,1,1,,1,1,1,1,,,,,,1,,,,,,,1,1,,1,,,1,,1,1,,
,1,,,1,,,,,1,1,,,,1,,1,,1,1,1,1,,,,,,,,,,,,,1,,,1,,,1,,,,,1
,1,,,1,,1,1,,1,1,,,,1,,,,1,1,1,1,,,,,,,,,,,,,1,,,1,,,1,,,,1,1
,1,,,1,,,,1,1,1,,,1,1,,,,1,1,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1
,,,,1,,,,,1,,,,,1,1,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,1,1,1,1,,,,,,,,1,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
